V1	V2	weight	condition
APMAP	ANXA2	1	non-differential
APMAP	BAX	1	non-differential
NFKBIZ	GYG1	1	non-differential
PARP8	GPR171	1	non-differential
PARP8	ATF4	1	non-differential
SLC7A5	PDCD5	1	non-differential
SLC7A5	NUCKS1	1	non-differential
GLIPR1	BAX	1	non-differential
P2RY10	SPTBN1	1	non-differential
P2RY10	MRPL11	1	non-differential
PTPRCAP	LIMA1	1	non-differential
PTPRCAP	C17ORF89	1	non-differential
SMCHD1	IKZF3	1	non-differential
AK6	CHMP1B	1	non-differential
AK6	PLIN2	1	non-differential
AK6	CDK4	1	non-differential
TPM4	GRAMD1A	1	non-differential
PPP1R16B	PEA15	1	non-differential
SPTAN1	TGFBR2	1	non-differential
STAT3	SQSTM1	1	non-differential
STAT3	SRSF3	1	non-differential
STAT3	NDRG1	1	non-differential
IL10RA	GIMAP4	1	non-differential
IL10RA	LIMS1	1	non-differential
IL10RA	ELL2	1	non-differential
CBLB	BAZ1A	1	non-differential
CBLB	GAPDH	1	non-differential
LAMP1	TSC22D3	1	non-differential
CD55	USP1	1	non-differential
SH2D1A	CD6	1	non-differential
CHMP1B	NDRG1	1	non-differential
CHMP1B	NFATC2	1	non-differential
RANBP1	NHP2	1	non-differential
RANBP1	PIK3IP1	1	non-differential
DUSP16	PCED1B	1	non-differential
DUSP16	KIAA0319L	1	non-differential
GIMAP4	CD53	1	non-differential
GIMAP4	NUDT5	1	non-differential
TRAF1	HMGB1	1	non-differential
TRAF1	GAPDH	1	non-differential
ARID5A	SQSTM1	1	non-differential
CSRNP1	BCL2L11	1	non-differential
GPX1	POGLUT1	1	non-differential
MRPL11	SLC1A4	1	non-differential
PKM	LEPROTL1	1	non-differential
PKM	ANXA2	1	non-differential
PKM	ANP32B	1	non-differential
RALA	FAM118A	1	non-differential
ASMTL	CD247	1	non-differential
UBA1	RHBDF2	1	non-differential
UBA1	RAB11FIP1	1	non-differential
RHBDF2	PPT1	1	non-differential
LEPROTL1	POLR3E	1	non-differential
CHCHD10	LSM4	1	non-differential
CHCHD10	CD37	1	non-differential
GTF3A	PMVK	1	non-differential
CD6	SUN2	1	non-differential
CD6	STAM	1	non-differential
CD6	DOK2	1	non-differential
FAM118A	XAB2	1	non-differential
FAM118A	PTRHD1	1	non-differential
PBXIP1	KDM6B	1	non-differential
PBXIP1	BTN3A2	1	non-differential
SUN2	CD63	1	non-differential
LIMS1	DYNLT3	1	non-differential
LIMS1	PDE4D	1	non-differential
TNFSF10	STAT5B	1	non-differential
ANKRD10	DNAJB9	1	non-differential
JUND	PRDX3	1	non-differential
TSC22D3	ASAH1	1	non-differential
TSC22D3	SLC9A3R1	1	non-differential
AUTS2	STAM	1	non-differential
MATR3.1	BAZ1A	1	non-differential
MATR3.1	DYNLT3	1	non-differential
MATR3.1	G6PD	1	non-differential
YWHAH	SRSF3	1	non-differential
YWHAH	OAT	1	non-differential
YWHAH	CDK4	1	non-differential
YWHAH	ARAP2	1	non-differential
BCL2L11	PTMS	1	non-differential
ADAM8	HSD17B11	1	non-differential
BAZ1A	KPNA2	1	non-differential
POLR3E	NFKB1	1	non-differential
DNAJC9	UPP1	1	non-differential
DNAJC9	RASGRP1	1	non-differential
TXNIP	ZEB2	1	non-differential
MTHFD2	MAP3K8	1	non-differential
MTHFD2	RABAC1	1	non-differential
ZC3H12A	MAP3K8	1	non-differential
ZC3H12A	CMTM7	1	non-differential
CDKN1B	TIMM13	1	non-differential
SNX9	EVL	1	non-differential
HMGB1	CBX3	1	non-differential
TNFAIP8	NAA38	1	non-differential
SMS	CDK16	1	non-differential
RAB11FIP1	RFTN1	1	non-differential
SPOCK2	CD48	1	non-differential
LINC00152	EIF4A1	1	non-differential
IRF7	MAP1LC3A	1	non-differential
SRSF3	RABAC1	1	non-differential
SRSF3	EIF4A1	1	non-differential
PDE4D	USP1	1	non-differential
MAP3K8	CDK4	1	non-differential
NFKB2	SLC9A3R1	1	non-differential
NFKB2	PABPC1	1	non-differential
UPP1	NUDT5	1	non-differential
UPP1	ARHGEF7	1	non-differential
RFTN1	CHD2	1	non-differential
MVP	KPNA2	1	non-differential
GAPDH	RPL4	1	non-differential
CTSS	ANP32B	1	non-differential
FAM46C	NDRG1	1	non-differential
FAM46C	DNAJB9	1	non-differential
RASGRP1	ACOT9	1	non-differential
LSM4	LSM2	1	non-differential
MAP1LC3A	SLC1A4	1	non-differential
NDRG1	USP11	1	non-differential
CD53	FAM65B	1	non-differential
GRAMD1A	IL21R	1	non-differential
GRAMD1A	OAT	1	non-differential
GRAMD1A	NFKB1	1	non-differential
GRAMD1A	RASAL3	1	non-differential
IL21R	HSD17B11	1	non-differential
CD4	JOSD1	1	non-differential
SLC39A8	HSD17B11	1	non-differential
NUCKS1	IGFLR1	1	non-differential
IL16	ZEB2	1	non-differential
CDK16	CHD2	1	non-differential
PIM3	CTSA	1	non-differential
LIMA1	POGLUT1	1	non-differential
IL4R	DNAJC1	1	non-differential
KIAA0319L	XAB2	1	non-differential
CLEC2D	LSM2	1	non-differential
STAM	SHMT2	1	non-differential
STAM	RABAC1	1	non-differential
CCNDBP1	CBX3	1	non-differential
CCNDBP1	NUDT5	1	non-differential
ACOT9	ANP32B	1	non-differential
RTN4	HSD17B11	1	non-differential
BIRC2	TOM1	1	non-differential
YIPF5	CD37	1	non-differential
CALM3	NUDT5	1	non-differential
CALM3	STAT5B	1	non-differential
FAM50A	ARAP2	1	non-differential
DNMT1	LCP1	1	non-differential
NFKB1	STK17B	1	non-differential
CD37	IKZF3	1	non-differential
ATF4	C17ORF89	1	non-differential
NUDT5	RPL13A	1	non-differential
CHD2	MGST3	1	non-differential
ZEB2	GPX4	1	non-differential
MGST3	NFATC2	1	non-differential
RASAL3	MVD	1	non-differential
