V1	V2	weight
DNAJC9	UPP1	1
DNAJC9	RASGRP1	1
TXNIP	ZEB2	1
MTHFD2	MAP3K8	1
MTHFD2	RABAC1	1
ZC3H12A	MAP3K8	1
ZC3H12A	CMTM7	1
CDKN1B	TIMM13	1
SNX9	EVL	1
HMGB1	CBX3	1
TNFAIP8	NAA38	1
SMS	CDK16	1
RAB11FIP1	RFTN1	1
SPOCK2	CD48	1
LINC00152	EIF4A1	1
IRF7	MAP1LC3A	1
SRSF3	RABAC1	1
SRSF3	EIF4A1	1
PDE4D	USP1	1
MAP3K8	CDK4	1
NFKB2	SLC9A3R1	1
NFKB2	PABPC1	1
UPP1	NUDT5	1
UPP1	ARHGEF7	1
RFTN1	CHD2	1
MVP	KPNA2	1
GAPDH	RPL4	1
CTSS	ANP32B	1
FAM46C	NDRG1	1
FAM46C	DNAJB9	1
RASGRP1	ACOT9	1
LSM4	LSM2	1
MAP1LC3A	SLC1A4	1
NDRG1	USP11	1
CD53	FAM65B	1
GRAMD1A	IL21R	1
GRAMD1A	OAT	1
GRAMD1A	NFKB1	1
GRAMD1A	RASAL3	1
IL21R	HSD17B11	1
CD4	JOSD1	1
SLC39A8	HSD17B11	1
NUCKS1	IGFLR1	1
IL16	ZEB2	1
CDK16	CHD2	1
PIM3	CTSA	1
LIMA1	POGLUT1	1
IL4R	DNAJC1	1
KIAA0319L	XAB2	1
CLEC2D	LSM2	1
STAM	SHMT2	1
STAM	RABAC1	1
CCNDBP1	CBX3	1
CCNDBP1	NUDT5	1
ACOT9	ANP32B	1
RTN4	HSD17B11	1
BIRC2	TOM1	1
YIPF5	CD37	1
CALM3	NUDT5	1
CALM3	STAT5B	1
FAM50A	ARAP2	1
DNMT1	LCP1	1
NFKB1	STK17B	1
CD37	IKZF3	1
ATF4	C17ORF89	1
NUDT5	RPL13A	1
CHD2	MGST3	1
ZEB2	GPX4	1
MGST3	NFATC2	1
RASAL3	MVD	1
